Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,company_name,ticker
2018-01-18 00:00:00-05:00,83.20057458329485,84.00663350506284,83.07086378970672,83.47852325439453,24159700,0.0,0.0,MICROSOFT,MSFT
2018-01-19 00:00:00-05:00,83.51559796050424,83.95105872437125,83.0708771875361,83.3858871459961,36875000,0.0,0.0,MICROSOFT,MSFT
2018-01-22 00:00:00-05:00,83.38590461666227,84.88685344449806,83.14501002408625,84.8775863647461,23601600,0.0,0.0,MICROSOFT,MSFT
2018-01-23 00:00:00-05:00,85.14624786376953,85.51685317936118,84.8127037866079,85.14624786376953,23412800,0.0,0.0,MICROSOFT,MSFT
2018-01-24 00:00:00-05:00,85.74851431033818,86.56384067003121,84.84979836423506,85.07215881347656,33277500,0.0,0.0,MICROSOFT,MSFT
2018-01-25 00:00:00-05:00,85.67436565772228,86.38777512114207,85.17404949808503,85.5446548461914,26383200,0.0,0.0,MICROSOFT,MSFT
2018-01-26 00:00:00-05:00,86.27658478354287,87.14749908447266,85.77626870324298,87.14749908447266,29172200,0.0,0.0,MICROSOFT,MSFT
2018-01-29 00:00:00-05:00,88.14815020147998,88.43536600484677,86.8325078566721,87.01780700683594,31569900,0.0,0.0,MICROSOFT,MSFT
2018-01-30 00:00:00-05:00,86.44338807892804,86.77693225311212,85.33157180874426,85.9245376586914,38635100,0.0,0.0,MICROSOFT,MSFT
2018-01-31 00:00:00-05:00,86.86029794788483,88.38904060550944,86.63793756437681,88.02770233154297,48756300,0.0,0.0,MICROSOFT,MSFT
2018-02-01 00:00:00-05:00,87.8238814928214,89.00981313137157,86.70280526985724,87.33283233642578,47227900,0.0,0.0,MICROSOFT,MSFT
2018-02-02 00:00:00-05:00,86.758381201497,87.0641311464185,84.77565070140886,85.03507232666016,47867800,0.0,0.0,MICROSOFT,MSFT
2018-02-05 00:00:00-05:00,83.90473040402867,86.38777710401337,81.53286743164062,81.53286743164062,51031500,0.0,0.0,MICROSOFT,MSFT
2018-02-06 00:00:00-05:00,80.50443542736794,84.7571190571447,78.98495993085177,84.6181411743164,67998600,0.0,0.0,MICROSOFT,MSFT
2018-02-07 00:00:00-05:00,83.8398775459731,85.02580906822604,82.64467894562803,83.02455139160156,41107600,0.0,0.0,MICROSOFT,MSFT
2018-02-08 00:00:00-05:00,83.11722134949589,83.27472637214038,78.53099911980927,78.76262664794922,55628700,0.0,0.0,MICROSOFT,MSFT
2018-02-09 00:00:00-05:00,79.95780987059692,82.39452844432475,77.66932921009595,81.69964599609375,63499100,0.0,0.0,MICROSOFT,MSFT
2018-02-12 00:00:00-05:00,82.21845766881349,83.18202847461946,81.46798717539158,82.57979583740234,35720300,0.0,0.0,MICROSOFT,MSFT
2018-02-13 00:00:00-05:00,82.3945256024347,83.38589091163577,81.3475719612796,83.22838592529297,26407700,0.0,0.0,MICROSOFT,MSFT
2018-02-14 00:00:00-05:00,82.39059967150519,84.69913351223678,82.29751488955714,84.53157806396484,34960900,0.42,0.0,MICROSOFT,MSFT
2018-02-15 00:00:00-05:00,84.90393070075795,86.30953445055925,84.35472547448036,86.2536849975586,27823900,0.0,0.0,MICROSOFT,MSFT
2018-02-16 00:00:00-05:00,86.05819017943324,87.03559813292131,85.45313555308816,85.6393051147461,30596900,0.0,0.0,MICROSOFT,MSFT
2018-02-20 00:00:00-05:00,85.15525766125414,86.62601420266675,84.71775139123447,86.30952453613281,30911700,0.0,0.0,MICROSOFT,MSFT
2018-02-21 00:00:00-05:00,86.55157110013101,86.90529618197257,85.16458129882812,85.16458129882812,26922500,0.0,0.0,MICROSOFT,MSFT
2018-02-22 00:00:00-05:00,85.68586082324715,86.31884734771577,85.04356368906029,85.38798522949219,24392800,0.0,0.0,MICROSOFT,MSFT
2018-02-23 00:00:00-05:00,87.12868146998179,87.56618774473314,85.97441458261956,87.55687713623047,26329200,0.0,0.0,MICROSOFT,MSFT
2018-02-26 00:00:00-05:00,87.87337694379423,88.8507778129382,87.73374621908404,88.8228530883789,30199800,0.0,0.0,MICROSOFT,MSFT
2018-02-27 00:00:00-05:00,89.12073861997864,89.21382341289063,87.68721008300781,87.68721008300781,25869100,0.0,0.0,MICROSOFT,MSFT
2018-02-28 00:00:00-05:00,88.28295603796356,89.09280860223157,87.15661377620413,87.28693389892578,31167300,0.0,0.0,MICROSOFT,MSFT
2018-03-01 00:00:00-05:00,87.49173190951761,88.03163366356613,85.49037685703749,86.43054962158203,37135600,0.0,0.0,MICROSOFT,MSFT
2018-03-02 00:00:00-05:00,85.24834616115703,86.70979925988259,84.57812436522187,86.61671447753906,32830400,0.0,0.0,MICROSOFT,MSFT
2018-03-05 00:00:00-05:00,85.95578548791735,87.7523492609574,85.88132193246066,87.16590881347656,23901600,0.0,0.0,MICROSOFT,MSFT
2018-03-06 00:00:00-05:00,87.81751039932944,87.95714110814997,86.5143093887721,86.86803436279297,22175800,0.0,0.0,MICROSOFT,MSFT
2018-03-07 00:00:00-05:00,86.7191116882829,87.4451829484763,86.03957926928092,87.37071228027344,26716100,0.0,0.0,MICROSOFT,MSFT
2018-03-08 00:00:00-05:00,87.75234957827716,88.52496667197553,87.28691862090409,87.90129089355469,25887800,0.0,0.0,MICROSOFT,MSFT
2018-03-09 00:00:00-05:00,88.7018550527156,89.86543273925781,88.43190417720805,89.86543273925781,36937300,0.0,0.0,MICROSOFT,MSFT
2018-03-12 00:00:00-04:00,89.82816871582314,90.48907977849764,89.399973116143,90.07949829101562,26073700,0.0,0.0,MICROSOFT,MSFT
2018-03-13 00:00:00-04:00,90.29361191572222,90.51701680202953,87.47310125713517,87.88268280029297,35387800,0.0,0.0,MICROSOFT,MSFT
2018-03-14 00:00:00-04:00,88.54358776735297,88.81353857449308,87.03558891081916,87.36138916015625,32132000,0.0,0.0,MICROSOFT,MSFT
2018-03-15 00:00:00-04:00,87.06350983441172,88.04091764170354,86.41190936415883,87.66857147216797,27611000,0.0,0.0,MICROSOFT,MSFT
2018-03-16 00:00:00-04:00,88.1340257277045,88.78562637036228,87.42656852859436,88.05955505371094,49081300,0.0,0.0,MICROSOFT,MSFT
2018-03-19 00:00:00-04:00,87.25898164534969,87.4079229397103,85.74167949408795,86.4677505493164,33344100,0.0,0.0,MICROSOFT,MSFT
2018-03-20 00:00:00-04:00,86.61672904969896,87.28694385647556,86.57018309973961,86.69119262695312,23075200,0.0,0.0,MICROSOFT,MSFT
